date,sales_diff
2006-04-11,-158.0
2006-04-12,308.0
2006-04-13,-91.0
2006-04-14,90.0
2006-04-15,-178.0
2006-04-16,88.0
2006-04-17,330.0
2006-04-18,-292.0
2006-04-19,182.0
2006-04-20,-159.0
2006-04-21,142.0
2006-04-22,84.0
2006-04-23,-144.0
2006-04-24,342.0
2006-04-25,83.0
2006-04-26,58.0
2006-04-27,-20.0
2006-04-28,-29.0
2006-04-29,-119.0
2006-04-30,174.0
2006-05-01,-199.0
2006-05-02,-33.0
2006-05-03,144.0
2006-05-04,-67.0
2006-05-05,-77.0
2006-05-06,-97.0
2006-05-07,102.0
2006-05-08,-864.0
2006-05-09,-3.0
2006-05-10,349.0
2006-05-11,-147.0
2006-05-12,-181.0
2006-05-13,-122.0
2006-05-14,17.0
2006-05-15,355.0
2006-05-16,-72.0
2006-05-17,-12.0
2006-05-18,70.0
2006-05-19,43.0
2006-05-20,24.0
2006-05-21,-201.0
2006-05-22,519.0
2006-05-23,-61.0
2006-05-24,96.0
2006-05-25,39.0
2006-05-26,-157.0
2006-05-27,150.0
2006-05-28,-217.0
2006-05-29,209.0
2006-05-30,236.0
2006-05-31,-54.0
2006-06-01,-30.0
2006-06-02,-105.0
2006-06-03,148.0
2006-06-04,-119.0
2006-06-05,589.0
2006-06-06,-173.0
2006-06-07,206.0
2006-06-08,-385.0
2006-06-09,253.0
2006-06-10,137.0
2006-06-11,10.0
2006-06-12,710.0
2006-06-13,241.0
2006-06-14,203.0
2006-06-15,-494.0
2006-06-16,387.0
2006-06-17,-389.0
2006-06-18,392.0
2006-06-19,-572.0
2006-06-20,139.0
2006-06-21,-32.0
2006-06-22,-11.0
2006-06-23,128.0
2006-06-24,-350.0
2006-06-25,165.0
2006-06-26,147.0
2006-06-27,-403.0
2006-06-28,49.0
2006-06-29,310.0
2006-06-30,-46.0
2006-07-01,-254.0
2006-07-02,341.0
2006-07-03,-1399.0
2006-07-04,-32.0
2006-07-05,-177.0
2006-07-06,138.0
2006-07-07,-88.0
2006-07-08,57.0
2006-07-09,91.0
