SHOP_WEEK,date,SHOP_WEEKDAY,SHOP_HOUR,sales,SPEND,item,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,store,STORE_FORMAT,STORE_REGION
200607,20060414,6,16,3,3.42,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000872882,UM,YA,994100100676096,M,UM,Top Up,Mixed,STORE00013,LS,N02
200607,20060411,3,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000216532,UM,YA,994100100282287,M,UM,Top Up,Fresh,STORE00028,LS,N02
200607,20060412,4,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100098130,L,MM,Top Up,Grocery,STORE00068,MS,E03
200607,20060410,2,17,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000105553,UM,YF,994100100216019,L,UM,Top Up,Fresh,STORE00072,MS,N02
200607,20060412,4,8,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000999673,MM,OT,994100100752142,S,MM,Small Shop,Grocery,STORE00120,MS,W02
200607,20060415,7,8,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000613535,UM,OT,994100100519968,M,UM,Top Up,Grocery,STORE00235,MS,E02
200607,20060415,7,13,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000578573,UM,OA,994100100498906,M,UM,Top Up,Mixed,STORE00299,SS,S02
200607,20060411,3,16,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000827452,UM,OT,994100100648881,S,MM,Small Shop,Grocery,STORE00425,MS,E02
200607,20060413,5,8,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000962707,UM,OA,994100100730179,M,MM,Small Shop,Fresh,STORE00679,LS,N03
200607,20060410,2,20,4,4.56,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100011453,L,MM,Top Up,Mixed,STORE00811,MS,S03
200607,20060415,7,11,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100065077,L,MM,Top Up,Fresh,STORE00811,MS,S03
200607,20060412,4,11,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000866143,UM,OT,994100100672043,L,UM,Top Up,Mixed,STORE00897,LS,S03
200607,20060416,1,16,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100089235,L,UM,Full Shop,Fresh,STORE00987,SS,W01
200607,20060416,1,17,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000438939,UM,OF,994100100415327,L,MM,Top Up,Mixed,STORE01490,LS,E01
200607,20060414,6,10,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100009444,L,LA,Full Shop,Mixed,STORE01490,LS,E01
200607,20060411,3,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100052576,L,MM,Full Shop,Fresh,STORE01490,LS,E01
200607,20060415,7,14,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000022494,LA,YA,994100100166251,L,LA,Top Up,Fresh,STORE01528,LS,W03
200607,20060413,5,12,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000114816,MM,NULL,994100100221542,M,MM,Top Up,Mixed,STORE01528,LS,W03
200607,20060412,4,10,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000537635,UM,NULL,994100100474230,L,MM,Top Up,Mixed,STORE01528,LS,W03
200607,20060414,6,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000515867,UM,NULL,994100100461361,L,MM,Full Shop,Mixed,STORE01637,LS,S03
200607,20060416,1,14,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000043010,LA,OT,994100100178835,M,LA,Top Up,Mixed,STORE01667,XLS,S01
200607,20060411,3,13,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100114139,L,UM,Top Up,Fresh,STORE01855,MS,E03
200607,20060416,1,19,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100122670,M,UM,Small Shop,Mixed,STORE00177,MS,E03
200607,20060414,6,12,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000335437,LA,OA,994100100353718,L,LA,Top Up,Mixed,STORE00180,LS,E03
200607,20060410,2,14,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000539181,MM,NULL,994100100475243,L,MM,Top Up,Fresh,STORE00277,LS,N01
200607,20060416,1,13,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000238441,UM,OA,994100100295602,S,MM,Small Shop,Grocery,STORE00377,LS,W03
200607,20060410,2,17,3,3.42,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000193437,UM,YA,994100100268608,L,MM,Top Up,Mixed,STORE00422,MS,N03
200607,20060410,2,20,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100051362,L,UM,Top Up,Fresh,STORE00637,MS,W01
200607,20060410,2,18,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100005995,M,UM,Small Shop,Fresh,STORE00910,MS,S01
200607,20060413,5,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,NULL,NULL,NULL,994100100032199,L,MM,Full Shop,Mixed,STORE00916,SS,N03
200607,20060413,5,10,3,3.42,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000696442,UM,OT,994100100570059,L,UM,Full Shop,Fresh,STORE01037,LS,N01
200607,20060411,3,11,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000728965,MM,OA,994100100589969,L,MM,Full Shop,Mixed,STORE01037,LS,N01
200607,20060413,5,12,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000929699,LA,OA,994100100710503,L,MM,Full Shop,Mixed,STORE01037,LS,N01
200607,20060411,3,20,3,3.42,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000032847,UM,YA,994100100172542,L,MM,Full Shop,Fresh,STORE01113,LS,W02
200607,20060416,1,14,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000192793,UM,NULL,994100100268231,M,UM,Top Up,Mixed,STORE01113,LS,W02
200607,20060412,4,14,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000956554,MM,OF,994100100726379,M,UM,Small Shop,Fresh,STORE01329,MS,W02
200607,20060412,4,12,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000116321,UM,PE,994100100222486,M,UM,Small Shop,Fresh,STORE01614,LS,S02
200607,20060415,7,15,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000719991,MM,YF,994100100584574,L,LA,Full Shop,Mixed,STORE01695,LS,W02
200607,20060412,4,12,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000597545,MM,NULL,994100100510391,L,LA,Full Shop,Mixed,STORE01723,MS,S02
200607,20060410,2,8,3,3.42,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000980290,LA,OF,994100100740801,L,UM,Top Up,Fresh,STORE01723,MS,S02
