date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2006-04-23,5067,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0,-178.0,90.0,-91.0,308.0,-158.0
2006-04-24,5409,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0,-178.0,90.0,-91.0,308.0
2006-04-25,5492,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0,-178.0,90.0,-91.0
2006-04-26,5550,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0,-178.0,90.0
2006-04-27,5530,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0,-178.0
2006-04-28,5501,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0,88.0
2006-04-29,5382,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0,330.0
2006-04-30,5556,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0,-292.0
2006-05-01,5357,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0,182.0
2006-05-02,5324,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0,-159.0
2006-05-03,5468,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0,142.0
2006-05-04,5401,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0,84.0
2006-05-05,5324,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0,-144.0
2006-05-06,5227,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0,342.0
2006-05-07,5329,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0,83.0
2006-05-08,4465,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0,58.0
2006-05-09,4462,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0,-20.0
2006-05-10,4811,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0,-29.0
2006-05-11,4664,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0,-119.0
2006-05-12,4483,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0,174.0
2006-05-13,4361,-122.0,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0,-199.0
2006-05-14,4378,17.0,-122.0,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0,-33.0
2006-05-15,4733,355.0,17.0,-122.0,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0,144.0
2006-05-16,4661,-72.0,355.0,17.0,-122.0,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0,-67.0
2006-05-17,4649,-12.0,-72.0,355.0,17.0,-122.0,-181.0,-147.0,349.0,-3.0,-864.0,102.0,-97.0,-77.0
